label,translation,comment
"Import a dataset from an environment","環境からデータセットをインポートする"
"Select a data.frame:","data.frame を選択します。"
"List of data.frame...","data.frameの一覧..."
"Select an environment in which to search:","検索する環境を選択してください:"
"Select environment","環境を選択"
"No data selected!","データが選択されていません！"
"Use a data.frame from your environment or from the environment of a package.","環境またはパッケージの環境から data.frame を使用します。"
"No data.frame here...","ここに data.frame はありません..."
"Ooops","おっと"
"Something went wrong...","何かがうまくいかなかった..."
"Data successfully imported!","データが正常にインポートされました！"
"Data ready to be imported!","データをインポートする準備が出来ました！"
"data has %s obs. of %s variables.","データには %s obs があります。 %s 変数の。"
"click to see data","クリックしてデータを表示"
"Import data","データのインポート"
"Import a file","ファイルをインポート"
"Upload a file:","ファイルをアップロード："
"Browse...","ブラウズ..."
"No file selected","ファイルが選択されていません"
"Number of rows to skip before reading data:","データを読み取る前にスキップする行数:"
"Decimal separator:","小数点記号:"
"Encoding:","エンコーディング："
"Select sheet to import:","インポートするシートを選択:"
"No file selected:","ファイルが選択されていません："
"You can import %s files","%sファイルをインポートできます"
"First five rows are shown below:","最初の 5 行を以下に示します:"
"Copy & paste data","データをコピー＆ペースト"
"Paste data here:","ここにデータを貼り付け:"
"Nothing pasted yet!","まだ何も貼り付けられていません！"
"Please copy and paste some data in the dialog box above.","上のダイアログ ボックスにデータをコピーして貼り付けてください。"
"Import Google Spreadsheet","Google スプレッドシートのインポート"
"You can either use:","次のいずれかを使用できます："
"A shareable link, in that case first sheet will be read","共有可能なリンク。この場合、最初のシートが読み込まれます"
"The URL that appear in your browser, in that case the current sheet will be read","ブラウザに表示される URL。この場合、現在のシートが読み取られます。"
"Enter a shareable link to a GoogleSheet:","Google スプレッドシートへの共有可能なリンクを入力してください："
"Please paste a valid GoogleSheet link in the dialog box above.","上のダイアログボックスに有効な Google シート リンクを貼り付けてください。"
"Help","ヘルプ"
"Environment","環境"
"External file","外部ファイル"
"Copy / Paste","コピー/ペースト"
"Googlesheets","Google スプレッドシート"
"How to import data?","データをインポートする方法は？"
"Import","インポート"
"View","見る"
"Update","更新"
"Validate","検証"
"Update & select variables","変数の更新と選択"
"Date format:","日付の形式："
"Date to use as origin to convert date/datetime:","日付/日時を変換する元として使用する日付："
"Select, rename and convert variables in table above, then apply changes by clicking button below.","上の表で変数を選択し、名前を変更して変換し、下のボタンをクリックして変更を適用します。"
"Apply changes","変更を適用"
"Data has %s observations and %s variables.","データには %sの観測値と%sの変数があります。"
"Data successfully updated!","データが正常に更新されました！"
"Validation:","検証："
"OK","OK"
"Failed","失敗"
"Error","エラー"
"Number of rows:","行の数："
"No data to display.","表示するデータがありません。"
"Close","閉じる"
"Add a label to data","データにラベルを追加する"
"Import Url","URLをインポート"
"Enter URL to data:","データへの URL を入力してください："
"Please paste a valid link in the dialog box above.","上のダイアログボックスに有効なリンクを貼り付けてください。"
"You can import from flat table format supported by","サポートされているフラットテーブル形式からインポートできます。"
"Display settings","ディスプレイの設定"
"Close Window","ウィンドウを閉じる"
"Show data","データを表示"
"More options","より多くのオプション"
"Title:","タイトル："
"Title","タイトル"
"Font face:","書体："
"Font size:","フォントのサイズ："
"Left","左"
"Center","中心"
"Right","右"
"Align:","整列："
"Subtitle:","サブタイトル："
"Subtitle","サブタイトル"
"Caption:","キャプション："
"Caption","キャプション"
"X label:","Xラベル："
"X label","Xラベル"
"Y label:","Yラベル："
"Y label","Yラベル"
"Fill label:","ラベルを埋める："
"Fill label","ラベルを埋める"
"Color label:","カラーラベル："
"Color label","カラーラベル"
"Size label:","サイズラベル："
"Size label","サイズラベル"
"Shape label:","ラベルの形状："
"Shape label","ラベルの形状"
"Labels & Title","ラベルとタイトル"
"Add a smooth line:","滑らかなラインを追加："
"Yes","はい"
"No","いいえ"
"Smooth line span:","滑らかなライン スパン："
"Jittered points:","ジッターポイント："
"Size for points/lines:","ポイント/ラインのサイズ："
"Facet scales:","ファセット スケール："
"Facet ncol:","ファセットncol："
"Facet nrow:","ファセットnrow："
"Numbers of bins:","ビンの数："
"Scale:","規模："
"X-Axis limits (empty for none):","X軸の制限(なしの場合は空)："
"X-Axis transform:","X軸変換："
"Y-Axis limits (empty for none):","Y軸の範囲(なしの場合は空)："
"Y-Axis transform:","Y軸変換："
"Bandwidth adjustment:","帯域幅の調整："
"Position:","位置："
"Flip coordinate:","座標を反転："
"Plot options","プロットオプション"
"Color:","カラー："
"Ribbon color:","リボンの色："
"Point symbol:","ポイント記号："
"Theme:","テーマ："
"Legend position:","凡例の位置："
"Appearance","外観"
"Copy to clipboard","クリップボードにコピー"
"Code:","コード："
"Code","コード"
"Imported data","インポートされたデータ"
"Import data", "データのインポート"
"Export chart","チャートのエクスポート"
"Filename:","ファイル名："
"Filename","ファイル名"
"Width:","幅："
"Height:","高さ："
"Update Preview","プレビューを更新"
"Export format:","エクスポートの形式："
"Use a color palette:","カラー パレットを使用："
"Reverse the order of colors?","色の順番を逆にしますか？"
"Use specific colors:","特定の色を使用する："
